variable,x,y
temp_depth,268.94934,5.130169622447056E-9
temp_depth,268.99078224,5.130169622447056E-9
temp_depth,269.03222448,5.130169622447056E-9
temp_depth,269.07366672,5.130169622447056E-9
temp_depth,269.11510896,5.130169622447056E-9
temp_depth,269.1565512,5.130169622447056E-9
temp_depth,269.19799344,5.130169622447056E-9
temp_depth,269.23943568,5.130169622447056E-9
temp_depth,269.28087792,5.130169622447056E-9
temp_depth,269.32232016,5.130169622447056E-9
temp_depth,269.3637624,5.130169622447056E-9
temp_depth,269.40520464,5.130169622447056E-9
temp_depth,269.44664688,5.130169622447056E-9
temp_depth,269.48808912,5.130169622447056E-9
temp_depth,269.52953136,5.130169622447056E-9
temp_depth,269.5709736,5.130169622447056E-9
temp_depth,269.61241584,5.130169622447056E-9
temp_depth,269.65385808,5.130169622447056E-9
temp_depth,269.69530032,5.130169622447056E-9
temp_depth,269.73674256,5.130169622447056E-9
temp_depth,269.7781848,5.130169622447056E-9
temp_depth,269.81962704,5.130169622447056E-9
temp_depth,269.86106928,5.130169622447056E-9
temp_depth,269.90251152,5.130169622447056E-9
temp_depth,269.94395376,5.130169622447056E-9
temp_depth,269.985396,5.130169622447056E-9
temp_depth,270.02683824,5.130169622447056E-9
temp_depth,270.06828048,5.130169622447056E-9
temp_depth,270.10972272,5.130169622447056E-9
temp_depth,270.15116496,5.130169622447056E-9
temp_depth,270.1926072,5.130169622447056E-9
temp_depth,270.23404944,5.130169622447056E-9
temp_depth,270.27549168,5.130169622447056E-9
temp_depth,270.31693392,5.130169622447056E-9
temp_depth,270.35837616,5.130169622447056E-9
temp_depth,270.3998184,5.130169622447056E-9
temp_depth,270.44126064,5.130169622447056E-9
temp_depth,270.48270288000003,5.130169622447056E-9
temp_depth,270.52414512,5.130169622447056E-9
temp_depth,270.56558736,5.130169622447056E-9
temp_depth,270.60702960000003,5.130169622447056E-9
temp_depth,270.64847184,5.130169622447056E-9
temp_depth,270.68991408,5.439132699791571E-9
temp_depth,270.73135632000003,6.480830982980024E-9
temp_depth,270.77279856,7.72196706577688E-9
temp_depth,270.8142408,9.200712192125593E-9
temp_depth,270.85568304000003,1.096253843257955E-8
temp_depth,270.89712528,1.3061619341669939E-8
temp_depth,270.93856752,1.5562491739729012E-8
temp_depth,270.98000976000003,1.854203723894443E-8
temp_depth,271.021452,2.2091843021598834E-8
temp_depth,271.06289424,2.63210182538387E-8
temp_depth,271.10433648000003,3.135953718924611E-8
temp_depth,271.14577872,3.736223064265687E-8
temp_depth,271.18722096,4.451354129741958E-8
temp_depth,271.2286632,5.303318673099966E-8
temp_depth,271.27010544,6.318289536011434E-8
temp_depth,271.31154768,7.527443557364677E-8
temp_depth,271.35298992,8.96791974014377E-8
temp_depth,271.39443216,1.0683956475077139E-7
temp_depth,271.4358744,1.2728251874705165E-7
temp_depth,271.47731664,1.516357315267669E-7
temp_depth,271.51875888,1.8064693563246692E-7
temp_depth,271.56020112,2.1520673954000813E-7
temp_depth,271.60164336,2.5637598355388036E-7
temp_depth,271.6430856,3.054182400319405E-7
temp_depth,271.68452784,3.638386658622039E-7
temp_depth,271.72597008,4.3342996036699333E-7
temp_depth,271.76741232,5.163274749975244E-7
temp_depth,271.80885456,6.150744980004674E-7
temp_depth,271.8502968,7.327004141188809E-7
temp_depth,271.89173904,8.728132456781168E-7
temp_depth,271.93318128,1.039576545736054E-6
temp_depth,271.97462352,1.2383511602820363E-6
temp_depth,272.01606576,1.4751199159945827E-6
temp_depth,272.057508,1.7571427406437579E-6
temp_depth,272.09895024,2.0930660866724793E-6
temp_depth,272.14039248,2.4931882762757596E-6
temp_depth,272.18183472,2.9697739591938443E-6
temp_depth,272.22327696,3.537430302458233E-6
temp_depth,272.2647192,4.213553893350763E-6
temp_depth,272.30616144,5.018864158046199E-6
temp_depth,272.34760368,5.978035460429965E-6
temp_depth,272.38904592,7.120454029063694E-6
temp_depth,272.43048816,8.48111722007161E-6
temp_depth,272.4719304,1.0101703082909808E-5
temp_depth,272.51337264,1.2031846381432842E-5
temp_depth,272.55481488,1.4330656085803639E-5
temp_depth,272.59625712,1.706852526695002E-5
temp_depth,272.63769936,2.032928023254499E-5
temp_depth,272.6791416,2.4212748030549847E-5
temp_depth,272.72058384,2.883780689444393E-5
temp_depth,272.76202608,3.4346016036579385E-5
temp_depth,272.80346832,4.0905953937908635E-5
temp_depth,272.84491056,4.8718353355070576E-5
temp_depth,272.8863528,5.802225132356398E-5
temp_depth,272.92779504,6.910227239131927E-5
temp_depth,272.96923728,8.229735976783559E-5
temp_depth,273.01067952,9.801106352824718E-5
temp_depth,273.05212176,1.1672391701722518E-4
temp_depth,273.093564,1.390080724377185E-4
temp_depth,273.13500624,1.6554479952901602E-4
temp_depth,273.17644848,1.9714515656232834E-4
temp_depth,273.21789072,2.347748668398708E-4
temp_depth,273.25933296,2.7958364808000624E-4
temp_depth,273.3007752,3.329401952214539E-4
temp_depth,273.34221744,3.964740317314863E-4
temp_depth,273.38365968,4.721247823908925E-4
temp_depth,273.42510192000003,5.622014286927879E-4
temp_depth,273.46654416,6.694521871395409E-4
temp_depth,273.5079864,7.971480372361839E-4
temp_depth,273.54942864000003,9.491814998909831E-4
temp_depth,273.59087088,0.0011301848571747541
temp_depth,273.63231312,0.0013456695014610887
temp_depth,273.67375536000003,0.0016021921765059233
temp_depth,273.7151976,0.0019075520103797317
temp_depth,273.75663984,0.0022710240446031094
temp_depth,273.79808208000003,0.0027036359533667564
temp_depth,273.83952432,0.0032184957526624203
temp_depth,273.88096656,0.0038311798125505447
temp_depth,273.9224088,0.004559604916721582
temp_depth,273.96385104,0.005426797084510326
temp_depth,274.00529328,0.006458328105509281
temp_depth,274.04673552,0.0076851085759699345
temp_depth,274.08817776,0.009143766015768051
temp_depth,274.12962,0.010877666063606739
temp_depth,274.17106224,0.012938094325363636
temp_depth,274.21250448,0.015385626815259457
temp_depth,274.25394672,0.01829170063138008
temp_depth,274.29538896,0.02174040488898754
temp_depth,274.3368312,0.025830499827861786
temp_depth,274.37827344,0.03067767061293125
temp_depth,274.41971568,0.03641698136925697
temp_depth,274.46115792,0.04320550337433815
temp_depth,274.50260016,0.05122503265738487
temp_depth,274.5440424,0.06068475544452667
temp_depth,274.58548464,0.07182363420724869
temp_depth,274.62692688,0.08491223305463791
temp_depth,274.66836912,0.10025347769260406
temp_depth,274.70981136,0.1181817501783371
temp_depth,274.7512536,0.1390593945980072
temp_depth,274.79269584,0.16326960921287537
temp_depth,274.83413808,0.19120429456233978
temp_depth,274.87558032,0.22324512898921967
temp_depth,274.91702256,0.2597363293170929
temp_depth,274.9584648,0.3009473383426666
temp_depth,274.99990704,0.3470243513584137
temp_depth,275.04134928,0.39793097972869873
temp_depth,275.08279152,0.4533809423446655
temp_depth,275.12423376,0.5127685070037842
temp_depth,275.165676,0.5751086473464966
temp_depth,275.20711824,0.639003336429596
temp_depth,275.24856048,0.7026569247245789
temp_depth,275.29000272,0.7639637589454651
temp_depth,275.33144496,0.8206855058670044
temp_depth,275.3728872,0.8417807221412659
temp_depth,275.41432944,0.836524486541748
temp_depth,275.45577168,0.8311889171600342
temp_depth,275.49721392,0.8257757425308228
temp_depth,275.53865616,0.8202869892120361
temp_depth,275.5800984,0.8147246241569519
temp_depth,275.62154064,0.8090907335281372
temp_depth,275.66298288,0.8033873438835144
temp_depth,275.70442512,0.797616720199585
temp_depth,275.74586736,0.7917810082435608
temp_depth,275.7873096,0.7858825325965881
temp_depth,275.82875184,0.7799234390258789
temp_depth,275.87019408,0.7739061713218689
temp_depth,275.91163632,0.7678375840187073
temp_depth,275.95307856,0.7617110013961792
temp_depth,275.9945208,0.7555333375930786
temp_depth,276.03596304,0.7493070363998413
temp_depth,276.07740528,0.7430345416069031
temp_depth,276.11884752,0.7367182374000549
temp_depth,276.16028976,0.7303606271743774
temp_depth,276.201732,0.7239642143249512
temp_depth,276.24317424,0.7175314426422119
temp_depth,276.28461648,0.7110647559165955
temp_depth,276.32605872,0.7045665979385376
temp_depth,276.36750096000003,0.6980395317077637
temp_depth,276.4089432,0.6914859414100647
temp_depth,276.45038544,0.6849082708358765
temp_depth,276.49182768000003,0.6676321625709534
temp_depth,276.53326992,0.6423366069793701
temp_depth,276.57471216,0.616987943649292
temp_depth,276.6161544,0.5917057991027832
temp_depth,276.65759664,0.5666007399559021
temp_depth,276.69903888,0.5417740345001221
temp_depth,276.74048112,0.5173166394233704
temp_depth,276.78192336,0.4933094382286072
temp_depth,276.8233656,0.4698229730129242
temp_depth,276.86480784,0.444582462310791
temp_depth,276.90625008,0.4184778332710266
temp_depth,276.94769232,0.3933238685131073
temp_depth,276.98913456,0.3691694438457489
temp_depth,277.0305768,0.346048504114151
temp_depth,277.07201904,0.32398173213005066
temp_depth,277.11346128,0.302977979183197
temp_depth,277.15490352,0.28303587436676025
temp_depth,277.19634576,0.2641453146934509
temp_depth,277.237788,0.24628885090351105
temp_depth,277.27923024,0.22944287955760956
temp_depth,277.32067248,0.21357892453670502
temp_depth,277.36211472,0.1986646205186844
temp_depth,277.40355696,0.18466466665267944
temp_depth,277.4449992,0.17154163122177124
temp_depth,277.48644144,0.1592566817998886
temp_depth,277.52788368,0.14777015149593353
temp_depth,277.56932592,0.1370421200990677
temp_depth,277.61076816,0.1270327866077423
temp_depth,277.6522104,0.11770283430814743
temp_depth,277.69365264,0.10901377350091934
temp_depth,277.73509488,0.10092810541391373
temp_depth,277.77653712,0.09340953081846237
temp_depth,277.81797936,0.08642306923866272
temp_depth,277.8594216,0.07993519306182861
temp_depth,277.90086384,0.07391383498907089
temp_depth,277.94230608,0.06833243370056152
temp_depth,277.98374832,0.06315379589796066
temp_depth,278.02519056,0.05835473909974098
temp_depth,278.0666328,0.053909335285425186
temp_depth,278.10807504,0.04979313537478447
temp_depth,278.14951728,0.045983150601387024
temp_depth,278.19095952,0.04245777428150177
temp_depth,278.23240176,0.03919675946235657
temp_depth,278.273844,0.036181144416332245
temp_depth,278.31528624,0.03339320048689842
temp_depth,278.35672848,0.030816366896033287
temp_depth,278.39817072,0.028435198590159416
temp_depth,278.43961296,0.026235297322273254
temp_depth,278.4810552,0.024203255772590637
temp_depth,278.52249744,0.022326603531837463
temp_depth,278.56393968,0.02059374377131462
temp_depth,278.60538192,0.018993902951478958
temp_depth,278.64682416,0.017517082393169403
temp_depth,278.6882664,0.016154000535607338
temp_depth,278.72970864,0.014896051958203316
temp_depth,278.77115088,0.013735258020460606
temp_depth,278.81259312,0.012664228677749634
temp_depth,278.85403536,0.011676117777824402
temp_depth,278.8954776,0.010764588601887226
temp_depth,278.93691984,0.009923776611685753
temp_depth,278.97836208,0.009148256853222847
temp_depth,279.01980432,0.008433009497821331
temp_depth,279.06124656,0.007773396093398333
temp_depth,279.1026888,0.007165127899497747
temp_depth,279.14413104,0.006604240275919437
temp_depth,279.18557327999997,0.006087071727961302
temp_depth,279.22701552,0.005610238295048475
temp_depth,279.26845776,0.00517061585560441
temp_depth,279.30989999999997,0.004765318240970373
temp_depth,279.35134224,0.004391681402921677
temp_depth,279.39278448,0.004047245718538761
temp_depth,279.43422672,0.0037297408562153578
temp_depth,279.47566896,0.003437071107327938
temp_depth,279.5171112,0.003167302580550313
temp_depth,279.55855344,0.0029186513274908066
temp_depth,279.59999568,0.0026894710026681423
temp_depth,279.64143792,0.0024782423861324787
temp_depth,279.68288016,0.0022835645359009504
temp_depth,279.7243224,0.0021041452419012785
temp_depth,279.76576464,0.0019387920619919896
temp_depth,279.80720688,0.0017864060355350375
temp_depth,279.84864912,0.0016459730686619878
temp_depth,279.89009136,0.0015165581135079265
temp_depth,279.9315336,0.0013973835157230496
temp_depth,279.97297584,0.0012874789535999298
temp_depth,280.01441808,0.0011862029787153006
temp_depth,280.05586032,0.0010928796837106347
temp_depth,280.09730256,0.0010068860137835145
temp_depth,280.1387448,9.276475175283849E-4
temp_depth,280.18018704,8.546347380615771E-4
temp_depth,280.22162928,7.873594877310097E-4
temp_depth,280.26307152,7.253717631101608E-4
