variable,x,y
temp_depth,268.94934,5.793446167245975E-9
temp_depth,268.99078224,5.793446167245975E-9
temp_depth,269.03222448,5.793446167245975E-9
temp_depth,269.07366672,5.793446167245975E-9
temp_depth,269.11510896,5.793446167245975E-9
temp_depth,269.1565512,5.793446167245975E-9
temp_depth,269.19799344,5.793446167245975E-9
temp_depth,269.23943568,5.793446167245975E-9
temp_depth,269.28087792,5.793446167245975E-9
temp_depth,269.32232016,5.793446167245975E-9
temp_depth,269.3637624,5.793446167245975E-9
temp_depth,269.40520464,5.793446167245975E-9
temp_depth,269.44664688,5.793446167245975E-9
temp_depth,269.48808912,5.793446167245975E-9
temp_depth,269.52953136,5.793446167245975E-9
temp_depth,269.5709736,5.793446167245975E-9
temp_depth,269.61241584,5.793446167245975E-9
temp_depth,269.65385808,5.793446167245975E-9
temp_depth,269.69530032,5.793446167245975E-9
temp_depth,269.73674256,5.793446167245975E-9
temp_depth,269.7781848,5.793446167245975E-9
temp_depth,269.81962704,5.793446167245975E-9
temp_depth,269.86106928,5.793446167245975E-9
temp_depth,269.90251152,5.793446167245975E-9
temp_depth,269.94395376,5.793446167245975E-9
temp_depth,269.985396,5.793446167245975E-9
temp_depth,270.02683824,5.793446167245975E-9
temp_depth,270.06828048,5.793446167245975E-9
temp_depth,270.10972272,5.793446167245975E-9
temp_depth,270.15116496,5.793446167245975E-9
temp_depth,270.1926072,5.793446167245975E-9
temp_depth,270.23404944,5.793446167245975E-9
temp_depth,270.27549168,5.793446167245975E-9
temp_depth,270.31693392,5.793446167245975E-9
temp_depth,270.35837616,5.793446167245975E-9
temp_depth,270.3998184,5.793446167245975E-9
temp_depth,270.44126064,5.793446167245975E-9
temp_depth,270.48270288000003,5.793446167245975E-9
temp_depth,270.52414512,5.793446167245975E-9
temp_depth,270.56558736,5.793446167245975E-9
temp_depth,270.60702960000003,5.793446167245975E-9
temp_depth,270.64847184,5.793446167245975E-9
temp_depth,270.68991408,6.138527908206015E-9
temp_depth,270.73135632000003,7.300571258639366E-9
temp_depth,270.77279856,8.682498275902617E-9
temp_depth,270.8142408,1.0325897470409018E-8
temp_depth,270.85568304000003,1.2280219507943002E-8
temp_depth,270.89712528,1.4604266240780817E-8
temp_depth,270.93856752,1.7367950633229157E-8
temp_depth,270.98000976000003,2.0654402632658275E-8
temp_depth,271.021452,2.456246583903976E-8
temp_depth,271.06289424,2.9209662244511492E-8
temp_depth,271.10433648000003,3.473572363077437E-8
temp_depth,271.14577872,4.130678377123331E-8
temp_depth,271.18722096,4.91203770991433E-8
temp_depth,271.2286632,5.8411348646814076E-8
temp_depth,271.27010544,6.94589203931173E-8
temp_depth,271.31154768,8.259505790420008E-8
temp_depth,271.35298992,9.821443569535404E-8
temp_depth,271.39443216,1.1678628197842045E-7
temp_depth,271.4358744,1.3886845806609927E-7
temp_depth,271.47731664,1.6512414902081218E-7
temp_depth,271.51875888,1.9634182990557747E-7
temp_depth,271.56020112,2.3345884869740985E-7
temp_depth,271.60164336,2.7758952114709246E-7
temp_depth,271.6430856,3.300585831311764E-7
temp_depth,271.68452784,3.9244088156920043E-7
temp_depth,271.72597008,4.666085828830546E-7
temp_depth,271.76741232,5.547871637645585E-7
temp_depth,271.80885456,6.596223443011695E-7
temp_depth,271.8502968,7.842590434847807E-7
temp_depth,271.89173904,9.324357961304486E-7
temp_depth,271.93318128,1.1084555353590986E-6
temp_depth,271.97462352,1.317856572313758E-6
temp_depth,272.01606576,1.5667990282963729E-6
temp_depth,272.057508,1.8627461031428538E-6
