variable,x,y
temp_depth,268.94934,6.402798931048892E-7
temp_depth,268.99078224,6.402798931048892E-7
temp_depth,269.03222448,6.402798931048892E-7
temp_depth,269.07366672,6.402798931048892E-7
temp_depth,269.11510896,6.402798931048892E-7
temp_depth,269.1565512,6.402798931048892E-7
temp_depth,269.19799344,6.402798931048892E-7
temp_depth,269.23943568,6.402798931048892E-7
temp_depth,269.28087792,6.402798931048892E-7
temp_depth,269.32232016,6.402798931048892E-7
temp_depth,269.3637624,6.402798931048892E-7
temp_depth,269.40520464,6.402798931048892E-7
temp_depth,269.44664688,6.402798931048892E-7
temp_depth,269.48808912,6.402798931048892E-7
temp_depth,269.52953136,6.402798931048892E-7
temp_depth,269.5709736,6.402798931048892E-7
temp_depth,269.61241584,6.402798931048892E-7
temp_depth,269.65385808,6.402798931048892E-7
temp_depth,269.69530032,6.402798931048892E-7
temp_depth,269.73674256,6.402798931048892E-7
temp_depth,269.7781848,6.402798931048892E-7
temp_depth,269.81962704,6.402798931048892E-7
temp_depth,269.86106928,6.402798931048892E-7
temp_depth,269.90251152,6.402798931048892E-7
temp_depth,269.94395376,6.402798931048892E-7
temp_depth,269.985396,6.402798931048892E-7
temp_depth,270.02683824,6.402798931048892E-7
temp_depth,270.06828048,6.402798931048892E-7
temp_depth,270.10972272,6.402798931048892E-7
temp_depth,270.15116496,6.402798931048892E-7
temp_depth,270.1926072,6.402798931048892E-7
temp_depth,270.23404944,6.402798931048892E-7
temp_depth,270.27549168,6.402798931048892E-7
temp_depth,270.31693392,6.402798931048892E-7
temp_depth,270.35837616,6.402798931048892E-7
temp_depth,270.3998184,6.402798931048892E-7
temp_depth,270.44126064,6.402798931048892E-7
temp_depth,270.48270288000003,6.402798931048892E-7
temp_depth,270.52414512,6.402798931048892E-7
temp_depth,270.56558736,6.402798931048892E-7
temp_depth,270.60702960000003,6.402798931048892E-7
temp_depth,270.64847184,6.402798931048892E-7
temp_depth,270.68991408,6.675845156678406E-7
temp_depth,270.73135632000003,7.565593023173278E-7
temp_depth,270.77279856,8.573833838454448E-7
temp_depth,270.8142408,9.716337672216468E-7
temp_depth,270.85568304000003,1.1010968137270538E-6
temp_depth,270.89712528,1.247796717507299E-6
temp_depth,270.93856752,1.4140265420792275E-6
temp_depth,270.98000976000003,1.6023843727452913E-6
temp_depth,271.021452,1.8158135617341031E-6
temp_depth,271.06289424,2.057648543996038E-6
temp_depth,271.10433648000003,2.3316672468354227E-6
temp_depth,271.14577872,2.642148956510937E-6
temp_depth,271.18722096,2.9939426440250827E-6
temp_depth,271.2286632,3.392540293134516E-6
temp_depth,271.27010544,3.844164893962443E-6
temp_depth,271.31154768,4.355864348326577E-6
temp_depth,271.35298992,4.935624019708484E-6
temp_depth,271.39443216,5.59249019715935E-6
temp_depth,271.4358744,6.336708793241996E-6
temp_depth,271.47731664,7.179888143582502E-6
temp_depth,271.51875888,8.135176358337048E-6
temp_depth,271.56020112,9.21746868698392E-6
temp_depth,271.60164336,1.0443636710988358E-5
temp_depth,271.6430856,1.1832790733024012E-5
temp_depth,271.68452784,1.3406580364971887E-5
temp_depth,271.72597008,1.5189524674497079E-5
temp_depth,271.76741232,1.7209400539286435E-5
temp_depth,271.80885456,1.9497665562084876E-5
temp_depth,271.8502968,2.2089956473791972E-5
temp_depth,271.89173904,2.5026633011293598E-5
temp_depth,271.93318128,2.835080522345379E-5
temp_depth,271.97462352,3.211911825928837E-5
temp_depth,272.01606576,3.6387911677593365E-5
temp_depth,272.057508,4.122360041947104E-5
temp_depth,272.09895024,4.670141061069444E-5
temp_depth,272.14039248,5.290653643896803E-5
temp_depth,272.18183472,5.993546437821351E-5
temp_depth,272.22327696,6.78974756738171E-5
temp_depth,272.2647192,7.691633800277486E-5
temp_depth,272.30616144,8.713220449863002E-5
temp_depth,272.34760368,9.870380745269358E-5
temp_depth,272.38904592,1.1181091394973919E-4
temp_depth,272.43048816,1.2665709073189646E-4
temp_depth,272.4719304,1.434728765161708E-4
temp_depth,272.51337264,1.6251933993771672E-4
temp_depth,272.55481488,1.8409208860248327E-4
temp_depth,272.59625712,2.0852590387221426E-4
temp_depth,272.63769936,2.3619983403477818E-4
temp_depth,272.6791416,2.675431314855814E-4
temp_depth,272.72058384,3.0304177198559046E-4
temp_depth,272.76202608,3.4324609441682696E-4
temp_depth,272.80346832,3.887791244778782E-4
temp_depth,272.84491056,4.4034633901901543E-4
temp_depth,272.8863528,4.987464053556323E-4
temp_depth,272.92779504,5.648834630846977E-4
temp_depth,272.96923728,6.397811812348664E-4
temp_depth,273.01067952,7.245983579196036E-4
temp_depth,273.05212176,8.206465863622725E-4
temp_depth,273.093564,9.294106275774539E-4
