variable,x,y
temp_depth,268.94934,1.8144711289025395E-9
temp_depth,268.99078224,1.8144711289025395E-9
temp_depth,269.03222448,1.8144711289025395E-9
temp_depth,269.07366672,1.8144711289025395E-9
temp_depth,269.11510896,1.8144711289025395E-9
temp_depth,269.1565512,1.8144711289025395E-9
temp_depth,269.19799344,1.8144711289025395E-9
temp_depth,269.23943568,1.8144711289025395E-9
temp_depth,269.28087792,1.8144711289025395E-9
temp_depth,269.32232016,1.8144711289025395E-9
temp_depth,269.3637624,1.8144711289025395E-9
temp_depth,269.40520464,1.8144711289025395E-9
temp_depth,269.44664688,1.8144711289025395E-9
temp_depth,269.48808912,1.8144711289025395E-9
temp_depth,269.52953136,1.8144711289025395E-9
temp_depth,269.5709736,1.8144711289025395E-9
temp_depth,269.61241584,1.8144711289025395E-9
temp_depth,269.65385808,1.8144711289025395E-9
temp_depth,269.69530032,1.8144711289025395E-9
temp_depth,269.73674256,1.8144711289025395E-9
temp_depth,269.7781848,1.8144711289025395E-9
temp_depth,269.81962704,1.8144711289025395E-9
temp_depth,269.86106928,1.8144711289025395E-9
temp_depth,269.90251152,1.8144711289025395E-9
temp_depth,269.94395376,1.8144711289025395E-9
temp_depth,269.985396,1.8144711289025395E-9
temp_depth,270.02683824,1.8144711289025395E-9
temp_depth,270.06828048,1.8144711289025395E-9
temp_depth,270.10972272,1.8144711289025395E-9
temp_depth,270.15116496,1.8144711289025395E-9
temp_depth,270.1926072,1.8144711289025395E-9
temp_depth,270.23404944,1.8144711289025395E-9
temp_depth,270.27549168,1.8144711289025395E-9
temp_depth,270.31693392,1.8144711289025395E-9
temp_depth,270.35837616,1.8144711289025395E-9
temp_depth,270.3998184,1.8144711289025395E-9
temp_depth,270.44126064,1.8144711289025395E-9
temp_depth,270.48270288000003,1.8144711289025395E-9
temp_depth,270.52414512,1.8144711289025395E-9
temp_depth,270.56558736,1.8144711289025395E-9
temp_depth,270.60702960000003,1.8144711289025395E-9
temp_depth,270.64847184,1.8144711289025395E-9
temp_depth,270.68991408,1.92972171575434E-9
temp_depth,270.73135632000003,2.3207349375553576E-9
temp_depth,270.77279856,2.790939257479863E-9
temp_depth,270.8142408,3.3563658519142336E-9
temp_depth,270.85568304000003,4.036288636655172E-9
temp_depth,270.89712528,4.853881740984889E-9
temp_depth,270.93856752,5.837006877840167E-9
temp_depth,270.98000976000003,7.019161696319998E-9
temp_depth,271.021452,8.440619758687262E-9
temp_depth,271.06289424,1.0149800111491913E-8
temp_depth,271.10433648000003,1.2204911747915048E-8
temp_depth,271.14577872,1.4675937798358518E-8
temp_depth,271.18722096,1.764700918727158E-8
temp_depth,271.2286632,2.1219268120376E-8
temp_depth,271.27010544,2.5514303558793472E-8
temp_depth,271.31154768,3.067828657776772E-8
temp_depth,271.35298992,3.6886930843138543E-8
temp_depth,271.39443216,4.435146294667902E-8
temp_depth,271.4358744,5.332580954586774E-8
temp_depth,271.47731664,6.411519848370517E-8
temp_depth,271.51875888,7.708653981808311E-8
temp_depth,271.56020112,9.268087808322889E-8
temp_depth,271.60164336,1.114283705305752E-7
temp_depth,271.6430856,1.3396626741268847E-7
temp_depth,271.68452784,1.6106055511500017E-7
temp_depth,271.72597008,1.9363191938737145E-7
temp_depth,271.76741232,2.3278701632989396E-7
temp_depth,271.80885456,2.798559819439106E-7
temp_depth,271.8502968,3.364375515957363E-7
temp_depth,271.89173904,4.0445328863825125E-7
temp_depth,271.93318128,4.861468028138916E-7
temp_depth,271.97462352,5.844124189025024E-7
temp_depth,272.01606576,7.025309969321825E-7
temp_depth,272.057508,8.445114190180902E-7
temp_depth,272.09895024,1.0151719607165433E-6
temp_depth,272.14039248,1.220303261106892E-6
